dataset,variant,seed,cap,comparison_role,best_epoch,condition,nmae,nrmse,last20_mean_nmae,last20_median_nmae,last20_min_nmae,last20_max_nmae
geant,one_step,41001,120,matched_skeleton_iteration_ablation,118,uniform,0.15513922290201748,0.211772800694141,0.17351478840498213,0.1712484545771752,0.16786317504616907,0.19145422948305893
geant,one_step,41001,120,matched_skeleton_iteration_ablation,118,unequal,0.17339018554213556,0.23860635034104052,0.17351478840498213,0.1712484545771752,0.16786317504616907,0.19145422948305893
geant,one_step,41001,120,matched_skeleton_iteration_ablation,118,unequal_gap,0.17506011669435415,0.23689857505050113,0.17351478840498213,0.1712484545771752,0.16786317504616907,0.19145422948305893
geant,one_step,41001,160,matched_skeleton_iteration_ablation,137,uniform,0.15310598911467285,0.210222210237392,0.16629821651673746,0.1662710554928471,0.16568821183398907,0.1670763933434498
geant,one_step,41001,160,matched_skeleton_iteration_ablation,137,unequal,0.17102182720481715,0.2382533564117277,0.16629821651673746,0.1662710554928471,0.16568821183398907,0.1670763933434498
geant,one_step,41001,160,matched_skeleton_iteration_ablation,137,unequal_gap,0.17241768090057524,0.23617746756891062,0.16629821651673746,0.1662710554928471,0.16568821183398907,0.1670763933434498
geant,one_step,41002,120,matched_skeleton_iteration_ablation,118,uniform,0.15414592129124,0.2127768149743365,0.17359085521198753,0.17059871111281594,0.1658507158741749,0.20874647489304662
geant,one_step,41002,120,matched_skeleton_iteration_ablation,118,unequal,0.1709908830151915,0.23794613859059394,0.17359085521198753,0.17059871111281594,0.1658507158741749,0.20874647489304662
geant,one_step,41002,120,matched_skeleton_iteration_ablation,118,unequal_gap,0.17241534331609326,0.23643927355897368,0.17359085521198753,0.17059871111281594,0.1658507158741749,0.20874647489304662
geant,one_step,41002,160,matched_skeleton_iteration_ablation,153,uniform,0.15294015522260132,0.21196924048950644,0.1647985795373817,0.16466242942071654,0.16442724547940654,0.16540724205381743
geant,one_step,41002,160,matched_skeleton_iteration_ablation,153,unequal,0.16952977351136742,0.23597346000863506,0.1647985795373817,0.16466242942071654,0.16442724547940654,0.16540724205381743
geant,one_step,41002,160,matched_skeleton_iteration_ablation,153,unequal_gap,0.17081180770425086,0.23394420667366098,0.1647985795373817,0.16466242942071654,0.16442724547940654,0.16540724205381743
geant,two_step,41001,120,matched_skeleton_iteration_ablation,116,uniform,0.1617521423612238,0.21611230301700954,0.17795214279604538,0.17756400796202057,0.17336958837497804,0.1851407937699366
geant,two_step,41001,120,matched_skeleton_iteration_ablation,116,unequal,0.17830660458568492,0.24079242755301009,0.17795214279604538,0.17756400796202057,0.17336958837497804,0.1851407937699366
geant,two_step,41001,120,matched_skeleton_iteration_ablation,116,unequal_gap,0.18005001817802538,0.24013200807393897,0.17795214279604538,0.17756400796202057,0.17336958837497804,0.1851407937699366
geant,two_step,41001,160,matched_skeleton_iteration_ablation,154,uniform,0.15786903057354887,0.21673699684183215,0.17065417111036787,0.1706335954872324,0.16991148218788665,0.17179293089252448
geant,two_step,41001,160,matched_skeleton_iteration_ablation,154,unequal,0.17490669831226277,0.23936242127979865,0.17065417111036787,0.1706335954872324,0.16991148218788665,0.17179293089252448
geant,two_step,41001,160,matched_skeleton_iteration_ablation,154,unequal_gap,0.17695871767784827,0.23871979857365758,0.17065417111036787,0.1706335954872324,0.16991148218788665,0.17179293089252448
geant,two_step,41002,120,matched_skeleton_iteration_ablation,107,uniform,0.16181255358647595,0.21536496071483768,0.17764866190129758,0.17704635058308194,0.17373016443625355,0.18653822257552188
geant,two_step,41002,120,matched_skeleton_iteration_ablation,107,unequal,0.17871065617136395,0.23867798451593786,0.17764866190129758,0.17704635058308194,0.17373016443625355,0.18653822257552188
geant,two_step,41002,120,matched_skeleton_iteration_ablation,107,unequal_gap,0.18066728355092074,0.23760104861318146,0.17764866190129758,0.17704635058308194,0.17373016443625355,0.18653822257552188
geant,two_step,41002,160,matched_skeleton_iteration_ablation,158,uniform,0.16019726770240317,0.2160648618689064,0.1720154516449552,0.17208075695538444,0.17114317034795165,0.1729042665668142
geant,two_step,41002,160,matched_skeleton_iteration_ablation,158,unequal,0.17566643545740998,0.23409300383143036,0.1720154516449552,0.17208075695538444,0.17114317034795165,0.1729042665668142
geant,two_step,41002,160,matched_skeleton_iteration_ablation,158,unequal_gap,0.1775658078840418,0.23345496621029926,0.1720154516449552,0.17208075695538444,0.17114317034795165,0.1729042665668142
geant,spin_direct,41001,160,historical_reference_not_iteration_ablation,153,uniform,0.15246297319444332,0.20995461641992283,0.16610116570945124,0.16604633352329354,0.16520770596502393,0.16696524467702825
geant,spin_direct,41001,160,historical_reference_not_iteration_ablation,153,unequal,0.17092585193927723,0.2392846487252855,0.16610116570945124,0.16604633352329354,0.16520770596502393,0.16696524467702825
geant,spin_direct,41001,160,historical_reference_not_iteration_ablation,153,unequal_gap,0.17223429276135122,0.23677611647133978,0.16610116570945124,0.16604633352329354,0.16520770596502393,0.16696524467702825
geant,spin_direct,41002,160,historical_reference_not_iteration_ablation,153,uniform,0.15157144281067728,0.21001934382798854,0.1650511414582196,0.1650312255016277,0.1644123798370679,0.16579352997820965
geant,spin_direct,41002,160,historical_reference_not_iteration_ablation,153,unequal,0.17000946289692323,0.2416389701519687,0.1650511414582196,0.1650312255016277,0.1644123798370679,0.16579352997820965
geant,spin_direct,41002,160,historical_reference_not_iteration_ablation,153,unequal_gap,0.1716562338036032,0.24072831526930957,0.1650511414582196,0.1650312255016277,0.1644123798370679,0.16579352997820965
